customer_id,first_name,last_name,age,gender,location,subscription_length_months,monthly_bill,total_usage_gb,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,customer_service_calls,satisfaction_score,last_payment_days_ago,last_login_days_ago,credit_score,support_tickets,avg_monthly_usage_growth,churn_probability,churn
CUST_000018,Joseph,Sanchez,49,Female,Dallas,57,86.69,12.5,1,1,Fiber optic,0,0,0,0,0,1,One year,1,Bank transfer,3,4.1,11,2,717,1,-0.028,0.438,0
CUST_000019,Mark,Harris,31,Female,Columbus,13,39.77,61.0,1,1,Fiber optic,1,0,1,0,1,0,Month-to-month,0,Credit card,2,8.0,2,2,786,3,-0.145,0.77,1
CUST_000020,Sarah,Martinez,23,Female,New York,72,45.4,33.3,1,0,Fiber optic,1,0,0,0,0,0,One year,0,Electronic check,0,4.2,4,4,645,1,-0.286,0.569,1
CUST_000021,James,Thompson,66,Female,New York,1,29.85,9.1,1,1,Fiber optic,1,0,0,0,1,0,Two year,1,Electronic check,2,7.5,22,3,727,2,0.177,0.607,0
CUST_000022,William,Ramirez,41,Male,Charlotte,15,53.54,64.1,1,1,Fiber optic,0,0,0,0,0,0,One year,0,Mailed check,1,8.7,5,5,535,2,0.112,0.384,1
CUST_000023,Dorothy,Hernandez,46,Female,Fort Worth,7,122.03,64.1,1,0,DSL,1,0,1,1,0,1,Two year,1,Credit card,1,5.7,5,0,738,0,0.023,0.491,1
CUST_000024,Nancy,Thompson,23,Female,Dallas,33,74.14,1.9,1,0,DSL,1,0,0,1,1,1,One year,1,Bank transfer,1,6.1,27,1,642,2,0.078,0.333,0
CUST_000025,Sarah,Johnson,36,Male,Fort Worth,8,41.29,50.5,1,1,Fiber optic,1,1,0,1,1,0,One year,0,Mailed check,2,8.7,5,0,646,2,0.117,0.573,0
CUST_000026,Elizabeth,Rodriguez,46,Male,Phoenix,5,100.17,72.6,1,0,No,0,0,0,0,0,0,One year,1,Electronic check,4,8.6,12,4,675,0,-0.055,0.69,1
CUST_000027,Susan,Wilson,27,Male,Fort Worth,35,109.13,11.8,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Credit card,2,5.1,34,2,605,1,0.245,0.646,0
CUST_000028,Nancy,Williams,50,Male,Houston,8,69.52,25.7,1,0,DSL,0,0,1,0,0,1,One year,1,Credit card,0,6.0,76,17,660,3,0.089,0.473,0
CUST_000029,Michael,Thomas,35,Male,Los Angeles,1,150.49,81.3,1,1,DSL,0,0,0,0,1,1,One year,1,Mailed check,3,6.9,9,1,808,1,0.135,0.699,1
CUST_000030,Jennifer,Lewis,40,Female,Jacksonville,8,92.63,10.3,1,0,Fiber optic,0,1,0,0,1,1,One year,0,Electronic check,4,6.5,11,1,797,1,0.048,0.651,1
CUST_000031,Matthew,Davis,35,Male,Phoenix,19,87.62,128.4,0,0,Fiber optic,1,1,1,0,0,0,Two year,1,Electronic check,4,5.6,6,2,700,1,0.117,0.321,1
CUST_000032,Michael,Lopez,72,Male,Charlotte,5,48.36,1.4,1,0,Fiber optic,1,0,0,0,1,0,Month-to-month,0,Bank transfer,3,6.1,16,3,654,0,0.175,0.746,0
CUST_000033,Daniel,Anderson,44,Male,Houston,10,85.71,7.2,0,0,Fiber optic,0,0,1,0,1,1,Month-to-month,1,Mailed check,1,8.0,15,4,608,1,-0.048,0.548,0
CUST_000034,Daniel,Clark,29,Female,Charlotte,1,72.73,7.5,1,0,DSL,1,1,1,1,0,0,Month-to-month,1,Bank transfer,3,8.7,5,2,580,1,0.208,0.608,0
CUST_000035,Thomas,Martinez,57,Female,Charlotte,15,82.1,48.7,1,0,Fiber optic,1,0,0,0,0,0,One year,0,Mailed check,1,7.9,0,5,797,0,0.174,0.365,1
CUST_000036,Robert,Miller,26,Male,Los Angeles,25,50.71,50.6,1,0,Fiber optic,1,1,1,0,1,0,Month-to-month,1,Credit card,2,6.7,11,6,679,3,0.115,0.612,0
CUST_000037,Sandra,Taylor,48,Female,Columbus,9,70.19,31.1,0,0,Fiber optic,1,1,0,0,1,1,One year,1,Electronic check,3,8.7,0,6,489,2,0.187,0.455,1
CUST_000038,Linda,Martinez,18,Female,Phoenix,9,48.1,17.5,1,1,Fiber optic,1,1,0,0,0,1,One year,1,Mailed check,2,5.4,12,9,548,2,0.116,0.559,0
CUST_000039,Matthew,Garcia,25,Male,Charlotte,1,28.25,71.8,1,0,Fiber optic,0,0,0,0,0,0,One year,0,Electronic check,2,6.2,20,0,577,2,-0.058,0.677,1
CUST_000040,Jennifer,Brown,47,Male,Philadelphia,4,99.42,5.1,1,1,DSL,1,1,1,0,1,1,One year,1,Credit card,2,8.0,10,6,384,1,0.243,0.675,0
CUST_000041,Christopher,Lopez,56,Female,Fort Worth,3,36.56,15.3,1,1,DSL,0,0,0,0,0,1,One year,1,Electronic check,3,6.0,4,1,606,2,0.033,0.672,1
CUST_000042,Lisa,Sanchez,47,Female,Philadelphia,11,69.61,2.4,1,0,DSL,1,1,0,1,0,0,One year,1,Bank transfer,1,7.9,8,6,454,1,0.355,0.43,0
CUST_000043,Richard,Johnson,43,Female,Los Angeles,13,76.19,1.0,0,0,No,0,0,0,0,0,0,One year,1,Electronic check,0,7.2,5,0,706,1,0.034,0.35,0
CUST_000044,John,Harris,40,Female,Los Angeles,53,75.99,27.2,1,1,DSL,0,0,1,0,0,0,One year,1,Credit card,1,4.9,1,1,678,1,0.155,0.322,0
CUST_000045,Robert,Miller,22,Female,Phoenix,1,59.55,12.1,1,1,DSL,1,0,0,1,0,0,Two year,1,Credit card,1,6.8,4,3,778,2,0.262,0.338,0
CUST_000046,Joseph,Robinson,34,Female,Fort Worth,16,74.33,19.3,1,0,Fiber optic,0,0,0,0,0,0,One year,1,Mailed check,3,6.5,8,4,716,2,0.019,0.425,1
CUST_000047,Christopher,Williams,38,Male,Dallas,13,80.51,110.4,1,0,DSL,0,0,0,0,0,1,Month-to-month,1,Mailed check,2,7.1,5,14,850,1,-0.078,0.549,0
CUST_000048,Jennifer,Anderson,60,Male,Austin,13,89.48,12.1,1,0,DSL,0,1,0,0,1,1,Month-to-month,1,Bank transfer,0,8.4,0,1,644,0,-0.008,0.566,1
CUST_000049,Joseph,Taylor,50,Male,Chicago,37,133.4,129.3,1,1,Fiber optic,1,1,0,0,0,1,Month-to-month,1,Credit card,2,6.3,1,3,621,3,0.107,0.605,0
CUST_000050,Michael,Smith,18,Female,Philadelphia,4,73.24,68.9,1,1,Fiber optic,0,0,0,0,0,0,Month-to-month,0,Bank transfer,0,4.6,1,3,788,4,0.214,0.454,0
CUST_000051,Matthew,Sanchez,49,Female,New York,1,68.42,23.5,1,0,Fiber optic,1,0,0,1,1,1,Month-to-month,0,Electronic check,1,8.0,6,5,705,3,0.068,0.624,1
CUST_000052,Sarah,Thomas,39,Female,Charlotte,20,46.4,40.0,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Bank transfer,1,3.5,0,1,683,1,0.023,0.636,1
CUST_000053,Sandra,Lewis,34,Male,Charlotte,7,79.39,37.5,1,0,Fiber optic,1,0,1,0,0,1,Month-to-month,1,Mailed check,2,7.1,7,13,779,2,0.164,0.584,1
CUST_000054,Lisa,Taylor,54,Female,Phoenix,1,87.09,9.2,1,1,Fiber optic,1,1,1,1,1,1,Month-to-month,1,Credit card,2,8.4,0,26,787,0,-0.196,0.8,1
CUST_000055,William,Jones,60,Male,New York,5,61.75,134.8,1,0,Fiber optic,1,0,0,1,0,1,One year,0,Electronic check,2,9.0,29,10,498,2,0.224,0.528,1
CUST_000056,Lisa,Miller,58,Male,Los Angeles,6,82.92,54.9,1,1,DSL,0,1,0,0,0,0,Two year,1,Credit card,3,7.1,60,6,665,2,-0.016,0.451,1
CUST_000057,Daniel,Hernandez,32,Female,San Jose,17,59.32,118.3,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Credit card,1,7.8,5,5,724,1,0.03,0.455,1
CUST_000058,Susan,Robinson,40,Female,Dallas,3,87.22,116.1,1,1,DSL,1,1,0,1,0,1,Month-to-month,0,Electronic check,4,6.6,18,6,419,1,0.196,0.683,1
CUST_000059,Sarah,Thomas,49,Female,Columbus,9,96.07,5.9,1,0,DSL,1,0,0,1,1,0,Month-to-month,1,Mailed check,1,7.4,27,4,599,0,-0.061,0.728,1
CUST_000060,John,White,59,Male,Chicago,11,95.53,16.3,1,1,DSL,0,1,1,0,0,0,Month-to-month,1,Mailed check,1,6.4,22,1,730,3,-0.147,0.8,1
CUST_000061,William,Ramirez,37,Male,Fort Worth,11,69.91,9.4,1,0,DSL,1,1,0,0,0,0,Month-to-month,1,Electronic check,3,3.7,9,11,778,2,0.172,0.632,1
CUST_000062,Jessica,Taylor,42,Male,Austin,65,43.99,88.1,1,1,Fiber optic,0,1,1,0,0,1,Month-to-month,0,Bank transfer,1,5.7,7,5,643,3,-0.107,0.755,1
CUST_000063,William,Martinez,28,Male,Houston,1,52.21,104.9,1,0,Fiber optic,1,0,0,0,1,0,Two year,1,Bank transfer,1,7.6,4,0,570,0,0.116,0.349,0
CUST_000064,Sandra,Harris,27,Female,San Diego,54,84.61,49.4,1,1,DSL,1,0,0,1,1,0,One year,1,Electronic check,2,6.8,1,3,690,3,0.009,0.294,0
CUST_000065,Matthew,Hernandez,57,Female,Los Angeles,15,177.6,11.3,1,0,No,0,0,0,0,0,0,Month-to-month,1,Bank transfer,5,6.2,42,2,666,1,0.001,0.76,1
CUST_000066,Sarah,Jones,65,Female,Philadelphia,28,58.19,8.1,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,1,Electronic check,3,7.9,0,0,618,0,0.189,0.427,1
CUST_000067,Joseph,Harris,43,Male,Charlotte,10,80.02,107.5,1,0,Fiber optic,1,0,0,0,1,0,One year,0,Credit card,2,6.5,2,2,535,0,0.136,0.427,0
CUST_000068,Charles,Ramirez,60,Female,Phoenix,10,53.39,141.3,1,0,Fiber optic,1,0,0,0,0,1,One year,0,Electronic check,3,6.4,8,1,631,1,-0.141,0.609,1
CUST_000069,Patricia,Brown,50,Male,Charlotte,38,45.17,11.1,1,0,DSL,1,0,0,0,1,1,Month-to-month,0,Electronic check,0,3.8,1,0,522,1,0.006,0.575,0
CUST_000070,Joseph,Clark,35,Female,Dallas,40,50.88,1.0,1,0,No,0,0,0,0,0,0,Month-to-month,1,Credit card,4,7.5,14,0,605,3,0.195,0.644,1
CUST_000071,Robert,Taylor,50,Male,Los Angeles,4,28.99,17.5,1,0,Fiber optic,0,0,0,1,1,0,Month-to-month,1,Mailed check,0,8.4,0,1,672,4,0.126,0.654,1
CUST_000072,Charles,Perez,68,Male,Dallas,3,114.59,2.4,1,0,Fiber optic,1,0,1,1,0,0,Month-to-month,0,Credit card,3,6.3,22,0,613,0,-0.079,0.792,1
CUST_000073,Betty,Jones,44,Male,San Antonio,12,27.33,75.6,1,0,DSL,0,0,1,0,0,0,Month-to-month,1,Electronic check,4,7.7,30,9,850,0,0.421,0.763,1
CUST_000074,Sarah,Miller,68,Female,Phoenix,41,60.01,37.9,1,0,DSL,0,1,0,1,0,0,One year,0,Electronic check,5,7.1,13,18,664,0,0.13,0.415,1
CUST_000075,John,White,18,Male,New York,7,41.63,50.0,1,0,Fiber optic,1,0,0,0,0,0,One year,1,Electronic check,1,6.5,12,3,770,5,-0.202,0.673,0
CUST_000076,Susan,Johnson,57,Male,Phoenix,19,46.82,26.9,1,0,DSL,1,1,1,0,1,0,Month-to-month,0,Credit card,1,7.4,10,4,691,2,0.106,0.637,0
CUST_000077,Charles,Anderson,46,Female,New York,22,115.65,33.2,0,0,Fiber optic,0,0,0,1,1,1,Two year,1,Electronic check,1,8.3,0,14,560,4,0.095,0.43,0
CUST_000078,Susan,Gonzalez,40,Male,New York,27,72.27,15.3,1,0,Fiber optic,0,1,0,0,1,0,One year,1,Bank transfer,4,8.8,4,6,615,1,0.164,0.401,0
CUST_000079,Donna,Thompson,46,Male,Phoenix,14,45.32,73.8,1,1,DSL,1,0,1,0,0,0,Two year,1,Mailed check,5,6.9,11,3,662,1,-0.24,0.678,0
CUST_000080,Betty,Ramirez,18,Male,Chicago,9,52.68,63.1,1,0,Fiber optic,1,0,0,0,1,1,Two year,0,Credit card,2,7.4,2,2,614,2,0.16,0.233,0
CUST_000081,Sandra,Taylor,41,Male,Charlotte,61,49.1,23.1,1,1,Fiber optic,1,1,1,1,0,0,Two year,1,Electronic check,4,8.8,0,6,677,4,0.239,0.416,1
CUST_000082,Elizabeth,Brown,50,Female,Houston,17,65.53,22.5,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,3,7.6,9,1,614,2,-0.274,0.68,0
CUST_000083,Thomas,Smith,67,Female,Fort Worth,23,71.46,1.0,1,1,Fiber optic,1,0,1,0,0,1,Month-to-month,1,Bank transfer,4,7.5,5,6,689,4,0.351,0.492,1
CUST_000084,David,Martinez,37,Male,San Diego,7,142.34,5.8,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,0,Bank transfer,0,6.5,3,0,776,0,-0.102,0.777,1
CUST_000085,Jessica,Robinson,32,Female,Jacksonville,19,30.98,43.3,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,1,9.4,19,3,762,1,0.073,0.627,1
CUST_000086,Thomas,Johnson,37,Male,Chicago,5,65.76,42.1,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,1,Electronic check,7,6.1,14,0,713,1,0.078,0.645,0
CUST_000087,Dorothy,Perez,58,Male,Charlotte,5,58.78,31.7,1,0,Fiber optic,0,1,0,0,1,0,Month-to-month,0,Credit card,0,7.7,12,6,695,3,-0.042,0.554,0
CUST_000088,Betty,Ramirez,49,Male,San Diego,22,97.38,124.7,1,0,DSL,1,0,0,0,0,0,Two year,1,Electronic check,0,6.3,41,17,570,2,-0.152,0.599,0
CUST_000089,Lisa,Martin,37,Male,Charlotte,13,76.86,44.0,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,2,5.8,12,5,790,0,0.011,0.453,0
CUST_000090,Joseph,Ramirez,52,Male,Houston,20,84.45,31.9,1,1,Fiber optic,1,0,1,1,1,1,Two year,1,Electronic check,1,8.9,15,6,499,1,-0.143,0.452,0
CUST_000091,David,Williams,46,Female,New York,5,76.56,11.0,1,0,DSL,1,0,1,0,0,0,Month-to-month,1,Electronic check,7,8.8,3,0,645,2,0.086,0.599,1
CUST_000092,Donna,Hernandez,59,Female,Austin,16,45.93,86.6,1,0,Fiber optic,1,0,1,0,0,0,Month-to-month,1,Credit card,3,6.7,17,3,589,2,0.163,0.709,1
CUST_000093,Jennifer,Anderson,34,Male,New York,10,108.26,64.7,1,1,Fiber optic,0,1,1,0,1,1,Month-to-month,0,Credit card,1,8.5,9,7,740,2,-0.113,0.8,0
CUST_000094,Patricia,Lewis,40,Female,Philadelphia,16,91.78,6.7,1,1,DSL,1,0,1,0,1,0,Month-to-month,1,Electronic check,4,7.9,10,9,850,0,0.177,0.713,1
CUST_000095,Linda,Johnson,39,Female,Los Angeles,6,96.18,73.8,1,0,Fiber optic,1,1,1,0,0,0,Month-to-month,1,Credit card,3,8.5,1,18,644,2,0.203,0.767,1
CUST_000096,Elizabeth,Brown,23,Female,San Jose,22,110.57,42.2,1,1,DSL,1,0,0,1,0,0,Two year,0,Bank transfer,1,7.5,15,6,843,2,-0.102,0.532,1
CUST_000097,William,Taylor,49,Female,Charlotte,29,78.81,106.0,1,0,Fiber optic,1,1,1,1,0,0,Month-to-month,0,Mailed check,1,8.7,13,4,629,1,-0.066,0.474,1
CUST_000098,Dorothy,Harris,48,Male,Philadelphia,5,120.59,201.6,1,0,Fiber optic,0,1,1,0,0,0,Month-to-month,1,Electronic check,0,8.8,1,8,618,1,0.106,0.679,0
CUST_000099,John,Perez,45,Female,Charlotte,6,77.56,57.8,1,0,DSL,0,0,0,1,1,0,Month-to-month,0,Bank transfer,1,6.1,2,1,612,1,-0.088,0.536,0
CUST_000100,Matthew,White,41,Female,San Antonio,19,61.09,74.2,1,0,Fiber optic,0,1,1,1,0,0,Two year,1,Credit card,1,6.6,23,10,802,1,0.081,0.325,0
CUST_000101,Matthew,Martinez,23,Female,San Antonio,21,66.51,3.4,1,0,Fiber optic,1,0,0,1,0,1,One year,1,Mailed check,1,8.4,11,7,797,3,0.146,0.324,0
CUST_000102,Sandra,Smith,38,Male,Charlotte,21,66.05,48.0,1,0,Fiber optic,1,0,0,1,0,0,One year,0,Mailed check,2,7.8,1,0,647,3,-0.31,0.494,1
CUST_000103,Thomas,Jackson,39,Male,Charlotte,20,54.18,75.6,1,0,Fiber optic,0,0,0,0,0,1,Month-to-month,1,Credit card,1,7.5,2,9,741,2,0.011,0.469,1
CUST_000104,James,Harris,32,Female,Columbus,8,128.09,57.2,1,0,No,0,0,0,0,0,0,One year,0,Electronic check,2,7.6,7,8,624,1,0.078,0.604,1
CUST_000105,Linda,Martinez,42,Male,Chicago,9,75.08,55.8,0,0,DSL,1,0,0,1,0,0,One year,0,Electronic check,0,7.1,27,12,788,1,-0.011,0.447,0
CUST_000106,Sarah,Lee,51,Male,San Diego,5,69.26,136.9,1,1,Fiber optic,0,0,1,0,0,0,Month-to-month,1,Bank transfer,2,8.0,8,11,631,2,-0.266,0.771,0
CUST_000107,Nancy,Lewis,73,Female,Los Angeles,3,77.89,13.9,1,1,No,0,0,0,0,0,0,One year,1,Bank transfer,3,9.0,2,1,772,2,-0.053,0.441,0
CUST_000108,Linda,Miller,47,Male,Philadelphia,21,219.63,12.4,1,1,DSL,1,0,1,0,0,1,One year,0,Credit card,2,5.1,22,3,758,1,0.012,0.61,0
CUST_000109,Christopher,Hernandez,48,Female,San Antonio,1,42.41,57.4,1,1,DSL,0,1,1,1,0,0,Month-to-month,1,Electronic check,0,8.2,6,8,726,2,-0.199,0.8,0
CUST_000110,Dorothy,Miller,43,Female,Charlotte,49,47.56,88.3,1,1,No,0,0,0,0,0,0,Month-to-month,0,Electronic check,5,3.1,14,7,461,2,0.056,0.758,1
CUST_000111,William,Miller,18,Female,Charlotte,31,38.39,90.0,1,0,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,5.2,1,8,756,3,0.121,0.52,1
CUST_000112,Sandra,Martinez,44,Male,Phoenix,35,60.76,57.8,1,0,Fiber optic,1,1,1,0,1,1,One year,1,Mailed check,1,6.9,17,1,800,2,0.077,0.375,0
CUST_000113,James,Rodriguez,45,Male,New York,42,73.57,110.0,1,0,Fiber optic,1,1,1,0,0,1,One year,1,Credit card,2,5.5,30,7,703,3,-0.089,0.434,0
CUST_000114,Thomas,Moore,80,Female,Charlotte,9,55.36,65.3,1,0,Fiber optic,0,0,1,0,1,0,One year,0,Credit card,2,6.2,20,0,771,3,0.102,0.397,0
CUST_000115,Barbara,Hernandez,42,Female,Los Angeles,33,53.74,4.9,1,0,DSL,1,0,0,1,1,1,Month-to-month,1,Mailed check,3,5.6,0,3,674,1,-0.103,0.624,0
CUST_000116,Michael,Harris,49,Female,San Jose,3,70.6,86.5,1,0,Fiber optic,0,1,0,1,0,1,Month-to-month,0,Mailed check,3,7.4,10,0,601,2,0.017,0.638,1
CUST_000117,Karen,Anderson,44,Male,New York,1,54.55,10.6,1,1,Fiber optic,1,1,1,1,0,0,Month-to-month,1,Mailed check,3,5.8,10,3,670,1,0.147,0.687,1
CUST_000118,Richard,Perez,27,Male,Phoenix,27,75.5,16.8,1,0,DSL,1,1,1,0,1,1,One year,0,Bank transfer,1,6.1,20,1,835,0,0.04,0.351,0
CUST_000119,Elizabeth,Brown,62,Female,Charlotte,1,104.14,37.0,0,0,Fiber optic,1,0,0,0,0,0,Two year,1,Bank transfer,2,6.8,62,3,718,3,-0.017,0.638,1
CUST_000120,Lisa,Rodriguez,56,Male,New York,72,87.43,25.3,1,0,Fiber optic,0,1,0,1,0,0,Month-to-month,1,Electronic check,2,5.5,32,6,607,1,0.019,0.526,0
CUST_000121,William,Jones,56,Female,Phoenix,20,94.86,27.1,1,1,Fiber optic,0,0,0,1,0,0,Month-to-month,1,Credit card,4,7.7,1,0,770,1,0.208,0.633,0
CUST_000122,James,Garcia,31,Male,Chicago,25,102.96,13.6,1,0,Fiber optic,1,1,0,1,0,0,Two year,0,Credit card,1,6.3,17,1,759,2,0.033,0.413,1
CUST_000123,Charles,Rodriguez,66,Male,Charlotte,5,74.67,21.5,1,0,Fiber optic,0,1,0,0,1,1,Month-to-month,1,Bank transfer,0,7.9,31,0,810,2,0.112,0.551,0
CUST_000124,Donna,Brown,23,Male,Charlotte,20,62.59,1.1,1,1,DSL,1,0,1,0,0,0,One year,0,Electronic check,3,6.1,6,1,570,1,-0.044,0.347,1
CUST_000125,Mary,Smith,53,Male,Los Angeles,1,48.96,33.0,0,0,Fiber optic,0,1,1,1,0,0,Month-to-month,0,Credit card,2,4.2,31,4,610,2,-0.135,0.8,1
CUST_000126,Linda,Martin,77,Female,New York,32,57.03,80.2,1,1,Fiber optic,0,1,1,0,0,1,One year,1,Credit card,2,5.0,28,0,824,0,-0.281,0.513,1
CUST_000127,Lisa,Moore,30,Female,San Jose,3,54.08,106.3,1,1,DSL,0,0,1,0,0,1,Month-to-month,0,Bank transfer,1,8.7,12,6,656,3,-0.059,0.577,1
CUST_000128,Karen,Taylor,36,Male,Houston,21,89.36,116.3,1,0,DSL,1,0,1,1,0,0,Month-to-month,1,Electronic check,0,6.3,28,1,413,1,-0.189,0.774,1
CUST_000129,Jessica,Brown,46,Female,Austin,4,76.61,33.7,1,1,Fiber optic,1,1,0,1,1,0,Two year,1,Electronic check,1,7.6,16,16,524,3,0.024,0.426,1
CUST_000130,Patricia,Miller,37,Male,New York,1,88.12,88.2,1,0,Fiber optic,0,1,0,0,0,0,Month-to-month,0,Mailed check,5,8.2,11,13,767,1,-0.027,0.8,1
CUST_000131,Jessica,Moore,21,Female,New York,11,41.92,16.6,1,1,No,0,0,0,0,0,0,Month-to-month,0,Mailed check,1,7.7,4,6,630,2,0.168,0.586,0
CUST_000132,Jennifer,Lopez,46,Male,Austin,3,118.24,4.5,1,0,Fiber optic,0,0,1,1,0,1,Two year,1,Credit card,6,6.5,9,7,614,0,-0.074,0.634,0
CUST_000133,Jennifer,Moore,29,Female,Los Angeles,23,56.22,61.4,1,0,DSL,0,0,1,0,0,1,Month-to-month,1,Bank transfer,3,7.3,13,6,845,2,-0.113,0.649,0
CUST_000134,Donna,Hernandez,52,Female,Charlotte,4,42.95,51.5,1,0,Fiber optic,1,0,0,1,0,0,One year,1,Electronic check,1,9.4,8,6,703,1,0.233,0.639,1
CUST_000135,John,Rodriguez,31,Female,New York,7,55.94,88.0,0,0,Fiber optic,1,1,0,1,0,0,One year,0,Bank transfer,1,8.5,8,0,786,3,0.214,0.404,1
CUST_000136,David,Jones,68,Female,Los Angeles,15,180.1,99.6,1,0,Fiber optic,1,1,0,1,1,1,Two year,1,Electronic check,1,6.6,27,13,701,1,0.117,0.463,1
CUST_000137,David,Thompson,33,Female,Charlotte,6,57.11,9.4,1,0,Fiber optic,1,1,0,0,0,0,One year,0,Electronic check,2,8.0,50,8,639,2,0.112,0.51,0
CUST_000138,Donald,Sanchez,40,Female,Phoenix,8,58.55,106.3,1,1,Fiber optic,1,1,0,0,0,0,Two year,0,Bank transfer,1,5.9,15,4,516,1,0.123,0.372,0
CUST_000139,William,Martinez,57,Female,Jacksonville,30,61.75,56.0,1,0,DSL,1,0,1,0,1,1,One year,1,Electronic check,1,5.1,5,0,633,1,0.007,0.349,0
CUST_000140,Thomas,Jackson,26,Female,Los Angeles,3,62.84,94.2,1,0,DSL,1,0,0,0,1,0,Month-to-month,1,Electronic check,1,6.5,27,7,644,0,-0.279,0.742,0
CUST_000141,Dorothy,Davis,48,Male,Dallas,1,48.78,76.6,1,1,Fiber optic,1,1,1,0,1,0,One year,0,Mailed check,1,6.5,20,11,564,1,-0.137,0.8,1
CUST_000142,Susan,Garcia,64,Male,Jacksonville,7,70.62,21.3,1,1,DSL,0,1,0,0,0,0,One year,1,Bank transfer,3,9.4,16,3,753,1,0.275,0.492,0
